Id,SalePrice
1461,274464.8
1462,205946.1
1463,200936.1
1464,212319.3
1465,184801.1
1466,166371.1
1467,233702.9
1468,166881.1
1469,204663.1
1470,243716.1
1471,249736.1
1472,179950.0
1473,213530.0
1474,213836.1
1475,118290.0
1476,168555.0
1477,197168.6
1478,220235.1
1479,156490.0
1480,235350.0
1481,180390.0
1482,182085.5
1483,232678.0
1484,150030.0
1485,232382.5
1486,180179.0
1487,203440.2
1488,175360.0
1489,207628.4
1490,216203.7
1491,207106.8
1492,180031.1
1493,233923.7
1494,252642.1
1495,202841.1
1496,223457.7
1497,118781.9
1498,124390.0
1499,120130.0
1500,118580.0
1501,168506.1
1502,172770.0
1503,303243.3
1504,176766.8
1505,213036.8
1506,163693.2
1507,252163.8
1508,205606.1
1509,224000.0
1510,169600.0
1511,239725.4
1512,185369.6
1513,186080.0
1514,251557.7
1515,209358.6
1516,215008.3
1517,269806.3
1518,193437.2
1519,184430.0
1520,224336.1
1521,215976.1
1522,233805.7
1523,194818.3
1524,197856.1
1525,233466.1
1526,234376.2
1527,168700.0
1528,210747.0
1529,212701.7
1530,164076.1
1531,236860.7
1532,192790.0
1533,187332.8
1534,140512.2
1535,209146.0
1536,241271.3
1537,231800.0
1538,235431.7
1539,200743.3
1540,228300.0
1541,195908.0
1542,231991.7
1543,202646.1
1544,139190.0
1545,157990.0
1546,170900.0
1547,204776.1
1548,128681.1
1549,169906.8
1550,160977.2
1551,251176.1
1552,194212.9
1553,279984.9
1554,234010.0
1555,190286.1
1556,242715.0
1557,246150.0
1558,201950.0
1559,273090.0
1560,165130.0
1561,257240.0
1562,178230.0
1563,189266.1
1564,229461.1
1565,253375.0
1566,231451.1
1567,281172.2
1568,199476.1
1569,169495.0
1570,183998.7
1571,193928.7
1572,223066.1
1573,252605.7
1574,210650.0
1575,259965.0
1576,172898.2
1577,200340.0
1578,202995.2
1579,247151.1
1580,199007.7
1581,216630.0
1582,218796.1
1583,213841.1
1584,208850.0
1585,180401.1
1586,278209.7
1587,225913.2
1588,228394.8
1589,213792.2
1590,176135.4
1591,214190.0
1592,144740.0
1593,209551.1
1594,274750.0
1595,232570.0
1596,273500.0
1597,214032.7
1598,224670.0
1599,155556.1
1600,182900.0
1601,217345.0
1602,159965.0
1603,260104.4
1604,157988.3
1605,203847.2
1606,174576.1
1607,229782.7
1608,223128.0
1609,230535.1
1610,253586.1
1611,150177.7
1612,215296.8
1613,229116.8
1614,219466.1
1615,237117.0
1616,239367.0
1617,178727.0
1618,204116.1
1619,238975.0
1620,206366.8
1621,211895.0
1622,217482.2
1623,180797.2
1624,220500.0
1625,239459.8
1626,232163.1
1627,214566.1
1628,213481.1
1629,243050.0
1630,243843.7
1631,186933.1
1632,218915.1
1633,219996.8
1634,238576.1
1635,279661.1
1636,171395.6
1637,184130.0
1638,205450.0
1639,135940.0
1640,181270.1
1641,172106.1
1642,226181.1
1643,172387.0
1644,230433.8
1645,217176.1
1646,240791.1
1647,215303.1
1648,183965.6
1649,190506.1
1650,245582.9
1651,222056.8
1652,196600.0
1653,179500.0
1654,171050.0
1655,128330.0
1656,160500.0
1657,179760.0
1658,170710.0
1659,169866.1
1660,178150.0
1661,231926.1
1662,231966.1
1663,213429.3
1664,182424.7
1665,202805.8
1666,168520.0
1667,247740.0
1668,195430.0
1669,201896.1
1670,216386.1
1671,171265.1
1672,237100.0
1673,206975.0
1674,169368.6
1675,218353.3
1676,148276.9
1677,208946.1
1678,175248.0
1679,202526.1
1680,243145.0
1681,183977.2
1682,186280.0
1683,174337.2
1684,225132.5
1685,196901.1
1686,230308.0
1687,230260.0
1688,182557.2
1689,197213.0
1690,172388.3
1691,255356.1
1692,218501.1
1693,217560.0
1694,183807.2
1695,213501.1
1696,239456.3
1697,220450.0
1698,202966.1
1699,205020.0
1700,259066.1
1701,184455.0
1702,218950.0
1703,202850.0
1704,228785.4
1705,164850.0
1706,198597.6
1707,214625.1
1708,227247.2
1709,231474.4
1710,198720.0
1711,229881.1
1712,194360.1
1713,181929.3
1714,233526.9
1715,173207.2
1716,195980.0
1717,179108.7
1718,216390.0
1719,169369.0
1720,301031.1
1721,164080.0
1722,253200.0
1723,221791.1
1724,202358.3
1725,247297.2
1726,189506.1
1727,219661.1
1728,225943.2
1729,250830.0
1730,183080.0
1731,198123.7
1732,182108.7
1733,253816.1
1734,213520.1
1735,206606.1
1736,198633.7
1737,440671.9
1738,272086.8
1739,225450.4
1740,244480.0
1741,203110.8
1742,146266.9
1743,198226.1
1744,328040.0
1745,161010.0
1746,155547.6
1747,244303.9
1748,169600.0
1749,234714.8
1750,205109.8
1751,154219.0
1752,218589.8
1753,200000.0
1754,193054.4
1755,221532.8
1756,364791.5
1757,205106.1
1758,268580.1
1759,212315.1
1760,163175.0
1761,230091.1
1762,234606.3
1763,189432.2
1764,214160.4
1765,198383.8
1766,236201.1
1767,232789.3
1768,202009.8
1769,192272.2
1770,190520.1
1771,203996.1
1772,219712.9
1773,227042.7
1774,198390.1
1775,215486.2
1776,206083.3
1777,180616.1
1778,212696.1
1779,239500.0
1780,274591.1
1781,207306.1
1782,178029.8
1783,198072.0
1784,227651.1
1785,242541.4
1786,247949.3
1787,251547.0
1788,212550.0
1789,181330.0
1790,287173.5
1791,202871.3
1792,137050.0
1793,255218.7
1794,236251.1
1795,208705.9
1796,172093.2
1797,208375.0
1798,179296.1
1799,212516.1
1800,246903.2
1801,198570.0
1802,200424.5
1803,149331.1
1804,246491.1
1805,189729.1
1806,259831.1
1807,199776.1
1808,195610.0
1809,272960.0
1810,222767.4
1811,245893.7
1812,269831.1
1813,144612.2
1814,210635.1
1815,203709.0
1816,212864.3
1817,237750.0
1818,242782.8
1819,147940.0
